Item,Pallet No.,SeriBl No,Pmax(W),Voc(V),Isc(B),Ipm(B),Vpm(V),FF,Order,Pallet Order,Exclude,UUID,Inverter,String
1,1,GZNE29274,332.7,70.6,6.087,5.629,59.1,77.42,749,1,0,3,1,A1
2,1,GZNE29276,335.8,70.7,6.096,5.667,59.25,77.88,2091,1,0,6,1,A1
3,1,GZNE29268,332.4,70.7,6.066,5.623,59.11,77.56,601,1,0,9,1,A1
4,1,GZNE29291,332.8,70.6,6.08,5.625,59.16,77.53,658,1,0,12,1,A1
5,1,GZNE29292,335.5,70.7,6.097,5.666,59.2,77.86,2081,1,0,15,1,A1
6,1,GZNE29288,332.6,70.7,6.077,5.621,59.17,77.46,532,1,0,18,1,A1
7,1,GZNE29271,335.4,70.7,6.108,5.666,59.19,77.72,2080,1,0,21,1,A1
8,1,GZNE29285,332.6,70.6,6.072,5.62,59.18,77.56,493,1,0,24,1,A1
9,1,GZNE29254,335.2,70.6,6.077,5.668,59.14,78.13,2100,1,0,27,1,A1
10,1,GZNE29264,332.1,70.4,6.099,5.633,58.95,77.3,847,1,0,30,1,A1
11,1,GZNE29269,335.3,70.7,6.073,5.661,59.23,78.13,1980,1,0,33,1,A1
12,1,GZNE29260,332.3,70.5,6.083,5.627,59.05,77.47,701,1,0,36,1,A1
13,1,GZNE29282,335,70.6,6.088,5.668,59.11,77.89,2099,1,0,39,1,A2
14,1,GZNE29280,335.3,70.7,6.086,5.669,59.16,77.98,2115,1,0,42,1,A2
15,1,GZNE29087,336.6,70.7,6.099,5.677,59.28,78.08,2158,1,0,45,1,A2
16,1,GZNE29184,334.7,70.6,6.109,5.675,58.97,77.64,2157,1,0,48,1,A2
17,1,GZNE29110,336.6,70.7,6.113,5.678,59.29,77.9,2160,1,0,51,1,A2
18,1,GZNE29059,332.7,70.6,6.083,5.629,59.1,77.52,750,1,0,54,1,A2
19,1,GZNE29061,336.1,70.7,6.1,5.671,59.26,77.89,2141,1,0,57,1,A2
20,1,GZNE29018,330.9,70.6,6.056,5.614,58.94,77.44,238,1,0,60,1,A2
21,1,GZNE28990,336.4,70.7,6.1,5.671,59.32,77.98,2142,1,0,63,1,A2
22,1,GZNE28993,336.4,70.7,6.092,5.67,59.33,78.12,2128,1,0,66,1,A2
23,1,GZNE28984,332.9,70.6,6.063,5.631,59.11,77.79,794,1,0,69,1,A2
24,1,GZNE28996,336.7,70.8,6.085,5.668,59.42,78.2,2106,1,0,72,1,A2
25,1,GZNE29020,333.3,70.6,6.082,5.631,59.19,77.65,800,1,0,75,1,A3
26,1,GZNE29019,333.6,70.6,6.079,5.63,59.25,77.68,776,1,0,78,1,A3
27,1,GZNE29000,336.6,70.7,6.101,5.67,59.36,78.02,2129,1,0,81,1,A3
28,1,GZNE29001,336.7,70.8,6.1,5.67,59.38,78.01,2130,1,0,84,1,A3
29,1,GZNE28998,335.9,70.8,6.079,5.654,59.41,78.09,1734,1,0,87,1,A3
30,1,GZNE29004,336.4,70.7,6.096,5.661,59.42,78,1990,1,0,90,1,A3
31,1,GZNE29347,335.9,70.9,6.09,5.661,59.34,77.86,1988,1,0,93,1,A3
32,1,GZNE29262,332.5,70.5,6.053,5.632,59.03,77.9,814,1,0,96,1,A3
33,1,GZNE29346,335.5,70.9,6.064,5.648,59.4,78.03,1445,1,0,99,1,A3
34,1,GZNE29334,332.2,70.7,6.06,5.619,59.13,77.56,444,1,0,102,1,A3
35,1,GZNE29306,335.5,70.7,6.093,5.664,59.23,77.84,2046,1,0,105,1,A3
36,1,GZNE29320,333.4,70.7,6.074,5.652,58.99,77.64,1613,1,0,108,1,A3
37,1,GZNE29322,334.2,70.6,6.089,5.661,59.04,77.8,1969,1,0,111,1,A4
38,1,GZNE29328,333,70.8,6.083,5.623,59.22,77.38,605,1,0,114,1,A4
39,1,GZNE29295,333.2,70.7,6.069,5.625,59.23,77.67,663,1,0,117,1,A4
40,1,G6NH24768,331.8,70.6,6.07,5.628,58.96,77.37,725,1,0,120,1,A4
41,2,H1NE07473,333.4,70.8,6.054,5.611,59.42,77.74,174,2,0,123,1,A4
42,2,H1NE07449,332,70.8,6.057,5.608,59.2,77.47,88,2,0,126,1,A4
43,2,H1NE07346,334.8,70.7,6.063,5.655,59.2,78.06,1764,2,0,129,1,A4
44,2,H1NE07477,335.1,70.9,6.066,5.652,59.3,77.92,1634,2,0,132,1,A4
45,2,H1NE07446,332.6,70.5,6.056,5.622,59.15,77.92,564,2,0,135,1,A4
46,2,H1NE07457,333.8,70.7,6.092,5.646,59.12,77.53,1336,2,0,138,1,A4
47,2,H1NE07460,333.5,70.8,6.057,5.645,59.07,77.72,1288,2,0,141,1,A4
48,2,H1NE07429,335.2,70.9,6.069,5.646,59.37,77.9,1350,2,0,144,1,A4
49,2,H1NE07436,333.7,70.7,6.063,5.623,59.34,77.89,616,2,0,147,1,A5
50,2,H1NE07447,333.3,70.7,6.059,5.619,59.32,77.85,461,2,0,150,1,A5
51,2,H1NE07440,333.3,70.8,6.061,5.612,59.39,77.67,192,2,0,153,1,A5
52,2,H1NE07451,333.3,70.7,6.05,5.618,59.32,77.87,407,2,0,156,1,A5
53,2,H1NE07448,333.5,70.7,6.066,5.62,59.33,77.71,510,2,0,159,1,A5
54,2,H1NE07452,333.3,70.7,6.06,5.617,59.33,77.77,372,2,0,162,1,A5
55,2,H1NE07453,333.8,70.8,6.044,5.614,59.46,77.98,269,2,0,165,1,A5
56,2,H1NE07454,333.8,70.8,6.03,5.616,59.43,78.17,340,2,0,168,1,A5
57,2,H1NE07456,333.2,70.7,6.044,5.617,59.33,77.98,368,2,0,171,1,A5
58,2,H1NE07458,333.3,70.8,6.055,5.613,59.38,77.8,227,2,0,174,1,A5
59,2,H1NE07459,333.6,70.8,6.048,5.616,59.4,77.94,338,2,0,177,1,A5
60,2,H1NE07461,333.4,70.8,6.046,5.612,59.42,77.86,193,2,0,180,1,A5
61,2,H1NE07462,333.5,70.7,6.061,5.621,59.33,77.79,551,2,0,183,1,A6
62,2,H1NE07431,335.5,70.9,6.074,5.654,59.34,77.9,1727,2,0,186,1,A6
63,2,H1NE07428,333.1,70.7,6.055,5.618,59.3,77.81,403,2,0,189,1,A6
64,2,H1NE07433,335.9,70.9,6.091,5.656,59.38,77.82,1818,2,0,192,1,A6
65,2,H1NE07430,334.1,70.9,6.046,5.618,59.48,77.99,433,2,0,195,1,A6
66,2,H1NE07432,333.1,70.6,6.075,5.623,59.24,77.65,606,2,0,198,1,A6
67,2,H1NE07435,332.5,70.8,6.069,5.615,59.23,77.4,281,2,0,201,1,A6
68,2,H1NE07434,335.2,70.8,6.093,5.656,59.27,77.65,1808,2,0,204,1,A6
69,2,H1NE07438,333.1,70.7,6.075,5.621,59.25,77.51,540,2,0,207,1,A6
70,2,H1NE07437,334.3,70.9,6.079,5.656,59.11,77.62,1797,2,0,210,1,A6
71,2,H1NE07439,335,70.8,6.088,5.658,59.2,77.75,1876,2,0,213,1,A6
72,2,H1NE07441,333.7,70.9,6.055,5.606,59.53,77.71,66,2,0,216,1,A6
73,2,H1NE07443,333.8,70.9,6.072,5.608,59.53,77.53,102,2,0,219,1,A7
74,2,H1NE07442,335,71,6.055,5.634,59.45,77.94,886,2,0,222,1,A7
75,2,H1NE07445,333.5,70.8,6.051,5.608,59.47,77.82,101,2,0,225,1,A7
76,2,H1NE07444,334.4,70.9,6.061,5.635,59.33,77.82,913,2,0,228,1,A7
77,2,H1NE07396,335,70.7,6.086,5.665,59.13,77.83,2064,2,0,231,1,A7
78,2,H1NE07401,335.2,70.6,6.093,5.669,59.13,77.96,2114,2,0,234,1,A7
79,2,H1NE07397,333.6,70.7,6.098,5.622,59.34,77.42,579,2,0,237,1,A7
80,2,GZNE29647,332.3,70.7,6.065,5.611,59.23,77.49,161,2,0,240,1,A7
81,3,H1NE07798,334.6,70.6,6.095,5.663,59.09,77.74,2017,3,0,243,1,A7
82,3,H1NE07797,333.5,70.6,6.091,5.653,58.99,77.51,1656,3,0,246,1,A7
83,3,H1NE07767,331.8,70.5,6.06,5.617,59.07,77.64,348,3,0,249,1,A7
84,3,H1NE07766,333.1,70.6,6.094,5.654,58.92,77.42,1704,3,0,252,1,A7
85,3,H1NE07769,331.2,70.3,6.05,5.622,58.91,77.85,556,3,0,255,1,A8
86,3,H1NE07768,333,70.6,6.067,5.651,58.92,77.77,1568,3,0,258,1,A8
87,3,H1NE07771,330.7,70.3,6.051,5.619,58.85,77.71,435,3,0,261,1,A8
88,3,H1NE07772,333,70.6,6.069,5.646,58.98,77.77,1331,3,0,264,1,A8
89,3,H1NE07773,331.6,70.5,6.05,5.616,59.05,77.7,314,3,0,267,1,A8
90,3,H1NE07774,334.1,70.7,6.069,5.647,59.16,77.84,1392,3,0,270,1,A8
91,3,H1NE07775,332.5,70.6,6.058,5.643,58.93,77.73,1164,3,0,273,1,A8
92,3,H1NE07778,331.7,70.6,6.047,5.609,59.14,77.68,104,3,0,276,1,A8
93,3,H1NE07776,333.6,70.7,6.068,5.642,59.13,77.76,1136,3,0,279,1,A8
94,3,H1NE07780,331.3,70.6,6.03,5.595,59.2,77.77,4,3,0,282,1,A8
95,3,H1NE07779,332.8,70.7,6.054,5.635,59.07,77.76,907,3,0,285,1,A8
96,3,H1NE07781,330.8,70.7,6.043,5.602,59.04,77.43,21,3,0,288,1,A8
97,3,H1NE07782,333.4,70.7,6.055,5.634,59.17,77.87,882,3,0,291,1,A9
98,3,H1NE07727,331.6,70.7,6.053,5.611,59.09,77.48,153,3,0,294,1,A9
99,3,H1NE07736,331.8,70.7,6.047,5.603,59.22,77.66,33,3,0,297,1,A9
100,3,H1NE07738,331,70.7,6.043,5.603,59.07,77.51,28,3,0,300,1,A9
101,3,H1NE07730,333.8,70.8,6.062,5.645,59.13,77.77,1289,3,0,303,1,A9
102,3,H1NE07732,333.9,70.7,6.077,5.656,59.03,77.67,1791,3,0,306,1,A9
103,3,H1NE07734,335,70.9,6.075,5.65,59.29,77.78,1541,3,0,309,1,A9
104,3,H1NE07742,334.7,70.8,6.061,5.649,59.25,78,1489,3,0,312,1,A9
105,3,H1NE07740,332.1,70.7,6.048,5.599,59.32,77.68,12,3,0,315,1,A9
106,3,H1NE07737,332.2,70.7,6.03,5.603,59.29,77.97,35,3,0,318,1,A9
107,3,H1NE07739,334,70.8,6.083,5.648,59.13,77.52,1433,3,0,321,1,A9
108,3,H1NE07746,331.6,70.7,6.019,5.604,59.18,77.96,38,3,0,324,1,A9
109,3,H1NE07741,335,70.9,6.063,5.651,59.29,77.94,1590,3,0,327,1,A10
110,3,H1NE07748,330.7,70.5,6.071,5.608,58.97,77.32,84,3,0,330,1,A10
111,3,H1NE07744,334.2,70.9,6.07,5.643,59.23,77.72,1180,3,0,333,1,A10
112,3,H1NE07757,331.2,70.5,6.02,5.603,59.11,78,29,3,0,336,1,A10
113,3,H1NE07758,330.5,70.1,6.079,5.624,58.77,77.51,622,3,0,339,1,A10
114,3,H1NE07749,333.5,70.5,6.071,5.661,58.91,77.93,1968,3,0,342,1,A10
115,3,H1NE07743,334.7,70.8,6.057,5.647,59.27,78.07,1401,3,0,345,1,A10
116,3,H1NE07756,331.6,70.5,6.049,5.617,59.04,77.77,346,3,0,348,1,A10
117,3,H1NE07747,333.9,70.5,6.077,5.649,59.1,77.89,1481,3,0,351,1,A10
118,3,H1NE07760,331.3,70.5,6.07,5.61,59.04,77.43,130,3,0,354,1,A10
119,3,H1NE07750,333,70.7,6.059,5.654,58.9,77.79,1703,3,0,357,1,A10
120,3,GZNE29697,335.9,70.7,6.08,5.662,59.32,78.09,2007,3,0,360,1,A10
121,4,H1NE07751,333.4,70.6,6.067,5.653,58.98,77.8,1655,4,0,363,1,A11
122,4,H1NE07755,332.9,70.5,6.059,5.649,58.93,77.95,1477,4,0,366,1,A11
123,4,H1NE07752,331.3,70.5,6.05,5.611,59.04,77.64,150,4,0,369,1,A11
124,4,H1NE07745,333.6,70.8,6.042,5.634,59.21,77.94,883,4,0,372,1,A11
125,4,H1NE07754,333.1,70.7,6.084,5.645,59,77.5,1284,4,0,375,1,A11
126,4,H1NE07759,332.7,70.4,6.075,5.65,58.89,77.75,1518,4,0,378,1,A11
127,4,H1NE07763,333.7,70.7,6.073,5.654,59.01,77.72,1709,4,0,381,1,A11
128,4,H1NE07702,333.8,70.8,6.081,5.654,59.05,77.55,1711,4,0,384,1,A11
129,4,H1NE07700,332.2,70.7,6.027,5.612,59.2,77.95,182,4,0,387,1,A11
130,4,H1NE07698,333.9,70.8,6.08,5.653,59.07,77.55,1659,4,0,390,1,A11
131,4,H1NE07699,332.4,70.7,6.025,5.609,59.26,77.99,112,4,0,393,1,A11
132,4,H1NE07695,332.5,70.8,6.075,5.652,58.83,77.29,1609,4,0,396,1,A11
133,4,H1NE07694,332.6,70.7,6.068,5.62,59.17,77.51,494,4,0,399,1,A12
134,4,H1NE07668,334.3,70.5,6.09,5.672,58.93,77.8,2148,4,0,402,1,A12
135,4,H1NE07688,331.5,70.5,6.049,5.621,58.97,77.73,523,4,0,405,1,A12
136,4,H1NE07690,333.7,70.8,6.081,5.651,59.06,77.5,1574,4,0,408,1,A12
137,4,H1NE07723,331.3,70.5,6.043,5.614,59.02,77.77,241,4,0,411,1,A12
138,4,H1NE07697,333.2,70.7,6.079,5.644,59.04,77.55,1233,4,0,414,1,A12
139,4,H1NE07721,331.9,70.6,6.058,5.613,59.12,77.63,206,4,0,417,1,A12
140,4,H1NE07725,332.9,70.7,6.056,5.621,59.22,77.72,537,4,0,420,1,A12
141,4,H1NE07661,334.4,70.8,6.083,5.648,59.21,77.65,1434,4,0,423,1,A12
142,4,H1NE07731,333.1,70.7,6.057,5.621,59.26,77.84,541,4,0,426,1,A12
143,4,H1NE07643,334.4,70.9,6.084,5.656,59.14,77.54,1800,4,0,429,1,A12
144,4,H1NE07729,332.7,70.7,6.079,5.622,59.18,77.4,568,4,0,432,1,A12
145,4,H1NE07717,334.8,70.7,6.08,5.658,59.18,77.85,1874,4,0,435,1,A13
146,4,H1NE07733,333.3,70.8,6.063,5.62,59.31,77.7,506,4,0,438,1,A13
147,4,H1NE07715,334.2,70.7,6.082,5.658,59.07,77.72,1870,4,0,441,1,A13
148,4,H1NE07718,332.4,70.6,6.055,5.624,59.11,77.75,628,4,0,444,1,A13
149,4,H1NE07713,333.9,70.6,6.099,5.668,58.92,77.56,2097,4,0,447,1,A13
150,4,H1NE07716,332,70.4,6.067,5.627,59,77.69,699,4,0,450,1,A13
151,4,H1NE07714,332.4,70.6,6.045,5.625,59.09,77.91,653,4,0,453,1,A13
152,4,H1NE07711,334.5,70.7,6.089,5.659,59.12,77.71,1908,4,0,456,1,A13
153,4,H1NE07712,332.3,70.5,6.046,5.621,59.12,77.93,529,4,0,459,1,A13
154,4,H1NE07693,334.6,70.8,6.085,5.661,59.11,77.62,1973,4,0,462,1,A13
155,4,H1NE07708,331.5,70.6,6.056,5.619,58.99,77.55,438,4,0,465,1,A13
156,4,H1NE07709,334.2,70.7,6.082,5.659,59.06,77.69,1905,4,0,468,1,A13
157,4,H1NE07705,330.4,70.6,6.045,5.607,58.92,77.38,67,4,0,471,2,B1
158,4,H1NE07710,334.2,70.6,6.086,5.666,58.97,77.75,2079,4,0,474,2,B1
159,4,H1NE07663,332,70.6,6.064,5.613,59.16,77.6,211,4,0,477,2,B1
160,4,GZNE29188,336.1,70.7,6.112,5.673,59.24,77.82,2154,4,0,480,2,B1
161,5,H1NE07706,333,70.7,6.071,5.645,58.99,77.59,1283,5,0,483,2,B1
162,5,H1NE07692,331.7,70.7,6.063,5.618,59.05,77.44,390,5,0,486,2,B1
163,5,H1NE07701,331.7,70.7,6.058,5.61,59.12,77.47,133,5,0,489,2,B1
164,5,H1NE07696,332.3,70.6,6.071,5.638,58.94,77.52,982,5,0,492,2,B1
165,5,H1NE07691,331.9,70.7,6.057,5.612,59.14,77.48,180,5,0,495,2,B1
166,5,H1NE07704,333.8,70.8,6.074,5.648,59.11,77.58,1432,5,0,498,2,B1
167,5,H1NE07687,332.3,70.7,6.08,5.623,59.1,77.36,599,5,0,501,2,B1
168,5,H1NE07703,332.2,70.8,6.067,5.647,58.83,77.32,1370,5,0,504,2,B1
169,5,H1NE07684,331.6,70.5,6.057,5.616,59.03,77.6,315,5,0,507,2,B2
170,5,H1NE07689,334.2,70.8,6.077,5.652,59.13,77.65,1619,5,0,510,2,B2
171,5,H1NE07685,332.6,70.6,6.06,5.648,58.87,77.77,1422,5,0,513,2,B2
172,5,H1NE07722,332.4,70.6,6.058,5.623,59.12,77.74,602,5,0,516,2,B2
173,5,H1NE07724,333,70.6,6.091,5.65,58.93,77.39,1524,5,0,519,2,B2
174,5,H1NE07632,332.9,70.8,6.037,5.609,59.34,77.92,120,5,0,522,2,B2
175,5,H1NE07675,333.7,70.5,6.065,5.658,58.98,78.04,1866,5,0,525,2,B2
176,5,H1NE07676,333.8,70.6,6.06,5.649,59.09,78,1480,5,0,528,2,B2
177,5,H1NE07662,331.5,70.7,6.059,5.612,59.08,77.4,179,5,0,531,2,B2
178,5,H1NE07680,333.8,70.7,6.06,5.639,59.19,77.9,1037,5,0,534,2,B2
179,5,H1NE07625,334.4,70.8,6.072,5.655,59.14,77.83,1759,5,0,537,2,B2
180,5,H1NE07677,331.9,70.5,6.026,5.613,59.12,78.15,207,5,0,540,2,B2
181,5,H1NE07614,334.6,70.9,6.079,5.656,59.16,77.64,1801,5,0,543,2,B3
182,5,H1NE07679,332.1,70.5,6.024,5.613,59.17,78.23,212,5,0,546,2,B3
183,5,H1NE07681,331.9,70.5,6.032,5.609,59.17,78.05,105,5,0,549,2,B3
184,5,H1NE07678,334.3,70.6,6.071,5.654,59.12,78,1713,5,0,552,2,B3
185,5,H1NE07682,331.6,70.5,6.027,5.615,59.06,78.1,272,5,0,555,2,B3
