Item,Pallet No.,Serial No,Pmax(W),Voc(V),Isc(A),Ipm(A),Vpm(V),FF,Order,Pallet Order,Exclude,UUID,Inverter,String
1,1,GZNE29274,332.7,70.6,6.087,5.629,59.1,77.42,749,1,0,0003,11,S58
2,1,GZNE29276,335.8,70.7,6.096,5.667,59.25,77.88,2091,1,0,0006,11,S61
3,1,GZNE29268,332.4,70.7,6.066,5.623,59.11,77.56,601,1,0,0009,11,S58
4,1,GZNE29291,332.8,70.6,6.08,5.625,59.16,77.53,658,1,0,0012,11,S58
5,1,GZNE29292,335.5,70.7,6.097,5.666,59.2,77.86,2081,1,0,0015,11,S61
6,1,GZNE29288,332.6,70.7,6.077,5.621,59.17,77.46,532,1,0,0018,11,S58
7,1,GZNE29271,335.4,70.7,6.108,5.666,59.19,77.72,2080,1,0,0021,11,S61
8,1,GZNE29285,332.6,70.6,6.072,5.62,59.18,77.56,493,1,0,0024,11,S58
9,1,GZNE29254,335.2,70.6,6.077,5.668,59.14,78.13,2100,1,0,0027,11,S61
10,1,GZNE29264,332.1,70.4,6.099,5.633,58.95,77.3,847,1,0,0030,11,S58
11,1,GZNE29269,335.3,70.7,6.073,5.661,59.23,78.13,1980,1,0,0033,11,S61
12,1,GZNE29260,332.3,70.5,6.083,5.627,59.05,77.47,701,1,0,0036,11,S58
13,1,GZNE29282,335,70.6,6.088,5.668,59.11,77.89,2099,1,0,0039,11,S61
14,1,GZNE29280,335.3,70.7,6.086,5.669,59.16,77.98,2115,1,0,0042,11,S61
15,1,GZNE29087,336.6,70.7,6.099,5.677,59.28,78.08,2158,1,0,0045,11,S61
16,1,GZNE29184,334.7,70.6,6.109,5.675,58.97,77.64,2157,1,0,0048,11,S61
17,1,GZNE29110,336.6,70.7,6.113,5.678,59.29,77.9,2160,1,0,0051,11,S61
18,1,GZNE29059,332.7,70.6,6.083,5.629,59.1,77.52,750,1,0,0054,11,S58
19,1,GZNE29061,336.1,70.7,6.1,5.671,59.26,77.89,2141,1,0,0057,11,S61
20,1,GZNE29018,330.9,70.6,6.056,5.614,58.94,77.44,238,1,0,0060,11,S58
21,1,GZNE28990,336.4,70.7,6.1,5.671,59.32,77.98,2142,1,0,0063,11,S61
22,1,GZNE28993,336.4,70.7,6.092,5.67,59.33,78.12,2128,1,0,0066,11,S61
23,1,GZNE28984,332.9,70.6,6.063,5.631,59.11,77.79,794,1,0,0069,11,S58
24,1,GZNE28996,336.7,70.8,6.085,5.668,59.42,78.2,2106,1,0,0072,11,S65
25,1,GZNE29020,333.3,70.6,6.082,5.631,59.19,77.65,800,1,0,0075,11,S58
26,1,GZNE29019,333.6,70.6,6.079,5.63,59.25,77.68,776,1,0,0078,11,S58
