,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,N01,N02,N03,N04,N05,N06,N07,N08,,N09,N10,N11,N12,N13,N14,N15,N16,,N17,N18,N19,N20,N21,N22,N23,N24,N25,,N26,N27,N28,N29,N30,N31,N32,N33,N34,,N35,N36,N37,N38,N39,N40,N41,N42,N43,,N44,N45,N46,N47,N48,N49,N50,N51,N52,
,Row1,,3756,4149,3546,3678,3567,3564,3840,3573,,4275,3597,3372,3720,4131,4587,4410,4722,,6117,4281,4593,4329,4362,4323,4713,4386,4707,,4488,6360,6057,6261,6099,6318,5754,5622,5517,,5676,6357,6156,6204,6210,5448,5823,5253,5895,,5829,6000,5298,5358,5214,5877,5796,6609,5967,
,Row2,,3621,3369,3672,3669,3480,3666,3837,3615,,4269,3645,3441,4236,3366,6120,4476,4785,,4581,4206,4716,4320,4437,4317,6111,4452,6114,,4803,6300,6054,6270,6096,6315,5751,6021,5718,,5673,6354,6153,6201,6189,5445,5844,5250,5880,,5805,5997,5295,5352,5211,5871,5793,5874,5964,
,Row3,,3663,3363,3675,3765,3477,3723,3831,3609,,4263,3642,3435,4224,4185,5130,4527,4779,,5046,4272,4674,4314,4434,4305,5067,4449,5061,,4806,6267,6051,6258,6093,6312,5748,6018,5715,,5670,6351,6150,6198,6186,5442,5841,5247,5931,,5787,5994,5292,5349,5208,5868,5790,5862,5961,
,Row4,,3741,4188,3729,3762,3465,3717,3825,3603,,4257,3627,3429,4221,4125,4626,4521,4773,,4677,4266,4671,4311,4431,4302,5064,4443,5058,,4551,6279,6048,6273,6090,6309,5745,6015,5712,,5667,6348,6147,6195,6183,5439,5838,5244,5925,,5781,5991,5289,5346,5205,5865,5784,5814,5958,
,Row5,,3714,4191,3702,3759,3450,3681,3819,3459,,4251,3618,3423,4215,4176,4620,4515,4767,,4665,4260,4653,4308,4428,4296,4797,4455,5055,,4548,6285,6045,6255,6087,6306,5742,6012,5709,,5664,6345,6144,6192,6180,5436,5835,5241,5922,,5775,5985,5286,5340,5202,5859,5778,5988,5955,
,Row6,,3711,4194,3693,3753,3438,3696,3816,3444,,4248,3612,3417,4209,4173,4617,4512,4761,,4659,4254,4686,4299,4413,4290,4791,4461,5052,,4542,6240,6042,6252,6084,6303,5739,6003,5706,,5661,6342,6141,6228,6177,5433,5832,5238,5919,,5376,5979,5283,5337,5199,5856,5772,5760,5952,
,Row7,,3708,4197,3687,3750,3432,3690,3810,3420,,4242,3606,3411,4203,4170,4608,4509,4755,,4656,4245,4698,4293,4407,4284,4782,4374,5049,,4536,6291,6039,6249,6081,6264,5736,6006,5703,,5658,6339,6138,6225,6174,5430,5826,5235,5916,,5364,5982,5277,5334,5196,5853,5769,5385,5949,
,Row8,,3699,4200,3654,3747,3426,3684,3801,3405,,3804,3474,3408,3834,4164,4602,4500,4749,,4650,4239,4704,4287,4404,4278,4764,4425,5043,,4530,5685,6036,6246,6078,6276,5733,6009,5700,,5655,6336,6135,6222,6171,5427,5820,5232,5913,,5343,5976,5271,5325,5193,5850,5766,5379,5946,
,Row9,,3705,4182,3651,3744,3414,3657,3798,3399,,3828,3471,3402,3813,4158,4596,4497,4740,,4647,4233,4710,4359,4401,4353,4758,4422,4788,,4524,5682,6033,6243,6075,6282,5730,5637,5697,,5652,6333,6132,6219,6168,5424,5817,5229,5910,,5331,5973,5268,5316,5190,5847,5763,5367,5943,
,Row10,,3660,4179,3633,3738,3393,3648,3792,3600,,3822,3462,3396,3789,4155,4683,4485,4737,,4644,4230,4572,4356,4395,4350,4734,4419,4752,,4518,5160,6030,6237,6072,6288,5727,5634,5694,,5649,6330,6129,6216,6165,5421,5811,5226,5907,,5328,5970,5256,5313,5187,5892,5382,5355,5940,
